vOTU;Lowest_taxon;Oct_2019;Feb_2020;Jul_2020;Oct_2020;Dec_2020;Feb_2021;Apr_2021;Jul_2021;Aug_2021;Nov_2021;Feb_2022;May_2022;Jul_2022;Oct_2022
D115B_0000196125__full;g__JCVI-SCAAA005 OR g__Parasynechococcus;0;0;0;0;0;0;0;0;0;5,832140848;0,287431583;0;0,444533812;0
D109_0000012896__full;g__Parasynechococcus;0;0;0;0;0;0;0;0;3,591541596;0;0;0;0;0
D109_0000100951__full;g__Parasynechococcus;2,227464191;1,056879175;0,406104987;0;0;0;0;0;0,914730786;0;0;0;0,239640193;0,405826204
D26_0000074263__full;g__Parasynechococcus;0;2,257663468;0;0;0;0;0;0;0;2,184274951;0,406911128;0;0;0
D26_0000081109__full;g__Parasynechococcus;0;21,71068832;0;0;0;0;0;0;0;0;0;0;0,638212062;0
D26_0000102580__full;g__Parasynechococcus;0;2,494409911;0;0;0;0;0;0;0;0;0;0;1,592558245;0,94915505
D26_0000119354__full;g__Parasynechococcus;0;2,07967228;0,285192275;0,547400049;0;0;0;0,439935883;0;0,550868161;1,213176835;0,134991018;0,6910397;0,530249505
D26_0000129383__full;g__Parasynechococcus;0;1,295423432;0;0;0;0;0;0;0;0;0;0;0;0
D32_0000042596__full;g__Parasynechococcus;0;0;1,952029642;0;0;0;0;0;0;0;0;0;0;0
D32_0000071482__full;g__Parasynechococcus;0;0;16,81315588;0;0;0;0;0,245633002;0;0;0;0;2,406326443;0,173593852
D32_0000087692__full;g__Parasynechococcus;0,611308646;0,699060771;0,782924758;0;0;0;0;0;0;0;0;0;0,496255371;0
D32_0000103184__full;g__Parasynechococcus;0;0;2,183715401;0;0;0;0;0;0;0;0;0;0;0
D32_0000153236__full;g__Parasynechococcus;0;0;1,516831676;0;0;0;0;0;0;0;0;0;0;0,206182665
D32_0000160025__full;g__Parasynechococcus;0;0;1,156117382;0;0;0;0;0;0;0;0;0;0;0
D32_0000296729__full;g__Parasynechococcus;0;0;0,727141092;0;0;0;0;0;0;0;0;0;0;0
D4_0000192789__full;g__Parasynechococcus;11,85106043;0;0;0;0;0;0;0;0;0;0;0;0;0
D67_0000166288__full;g__Parasynechococcus;0;0;0;0;0,299283455;1,197727519;0,712042823;0;0;0;0;0;0;0
D79_0000253314__full;g__Parasynechococcus;0;0,399488586;2,153994973;0;0;0,213044892;0,747623859;0;0;0;0;0,106406855;0,678396364;2,56652585
D86_0000459963__full;g__Parasynechococcus;0;0;0;0;0;0;0;0,683406035;0;0;0;0;0,35582531;0
D86_0000512170__full;g__Parasynechococcus;0;0;0;1,650642902;0;0;0;6,186613215;0,238746929;0,720190271;0,307564035;0;1,52570819;1,422544331
D115B_0000319351__full;g__Parasynechococcus;0;0;0;0;0;0;0;0;0;0,768082732;0;0;0;0
D115B_0000389767__full;g__Parasynechococcus;0;0;0;0;0;0;0;0;0;11,38738029;0,366296434;0;0,330545515;0
D124_0000251978__full;g__Parasynechococcus;0;0;0;0;0,190777961;0,281230429;0;0;0;0,624792452;1,633003518;0,128780706;0;0
D138_0000293490__full;g__Parasynechococcus;0;0;0;1,245442545;0;0;0;2,971715389;0,519949015;0,141342909;0,672232166;0,91719967;0,591709384;0,559946179
D150_0000026455__full;g__Parasynechococcus;1,195771329;4,564178028;1,214242091;0;0;0;0;0,641914123;0;1,750663937;0,991366208;0,656539945;3,082008595;1,441460895
D150_0000077518__full;g__Parasynechococcus;0;0;0;0;0;0;0;0;0;0;0;0;5,472831728;0
D150_0000095310__full;g__Parasynechococcus;0;0;2,120174928;0;0;0;0,237217623;0;0;0;0;0;0,627326445;0,27586428
D150_0000104120__full;g__Parasynechococcus;0;0;0;0;0;0;0;0;0;0;0;0;0,697346324;0
D150_0000138126__full;g__Parasynechococcus;0;0;0;0;0;0;0;0,508019475;0;0,164774678;0;0;5,202141634;0
D150_0000188523__full;g__Parasynechococcus;0;0;0,514376358;0;0;0;0;0;0;0;0;0;1,015693955;0
D150_0000213859__full;g__Parasynechococcus;0;0;0;0;0;0;0;0;0;2,68799233;1,567385399;0;6,390994981;0
D150_0000231169__full;g__Parasynechococcus;0;0;0;0;0;0;0;0;0;0;0;0;1,178348416;0
D150_0000299483__full;g__Parasynechococcus;0;0;0;0;0;0;0;0,432566557;0;0;0;0;4,699211587;0
D150_0000325618__full;g__Parasynechococcus;0;0;0;0;0;0;0;0;0;0;0;0;1,049756469;0
D162_0000100969__full;g__Parasynechococcus;0;0;0;0;0;0;0;0;0;0;0;0;0;0,901622418
D162_0000236602__full;g__Parasynechococcus;0;0;0;0;0;0;0;0;0;0;0;0;0;0,782751384
D162_0000381437__full;g__Parasynechococcus;0;0;0,287649531;0;0;0;0;0;0;0;0;0;0;0,65872791
